sample_id,tsne1,tsne2,cluster
464,9.488499,-4.259658,0
465,0.288442,14.526688,0
466,-2.827276,13.781998,0
467,-7.222292,3.589145,0
468,1.522597,9.409986,0
469,-3.167053,1.467626,0
470,-4.260494,-14.384694,0
471,-5.961351,2.847672,0
472,-16.179129,9.229980,0
473,2.345808,6.300716,0
474,-8.840449,9.096329,0
475,10.420646,4.914939,0
476,-8.775243,11.174447,0
477,-3.846925,6.576173,0
478,-0.124332,10.327998,0
479,5.346789,17.627317,0
480,-4.565254,-3.112786,0
481,13.851604,7.713103,0
482,-8.571054,11.724715,0
483,-21.954611,-7.075507,0
