probability,train_density,test_density
0.689482,0.133682,0.240745
0.691152,0.136508,0.242006
0.692821,0.139378,0.243282
0.694491,0.142291,0.244572
0.696160,0.145248,0.245875
0.697830,0.148249,0.247191
0.699499,0.151295,0.248518
0.701169,0.154385,0.249855
0.702838,0.157519,0.251202
0.704508,0.160698,0.252557
0.706177,0.163921,0.253919
0.707846,0.167190,0.255287
0.709516,0.170503,0.256660
0.711185,0.173861,0.258037
0.712855,0.177264,0.259418
0.714524,0.180713,0.260800
0.716194,0.184206,0.262183
0.717863,0.187745,0.263566
0.719533,0.191328,0.264948
0.721202,0.194957,0.266328
0.722871,0.198631,0.267704
0.724541,0.202350,0.269076
0.726210,0.206113,0.270443
0.727880,0.209922,0.271804
0.729549,0.213775,0.273158
0.731219,0.217672,0.274504
0.732888,0.221615,0.275840
0.734558,0.225601,0.277167
0.736227,0.229632,0.278483
0.737896,0.233706,0.279787
0.739566,0.237824,0.281078
0.741235,0.241985,0.282356
0.742905,0.246190,0.283620
0.744574,0.250437,0.284869
0.746244,0.254728,0.286102
0.747913,0.259060,0.287319
0.749583,0.263434,0.288518
0.751252,0.267850,0.289699
0.752922,0.272307,0.290862
0.754591,0.276804,0.292005
0.756260,0.281342,0.293129
0.757930,0.285920,0.294232
0.759599,0.290537,0.295315
0.761269,0.295194,0.296376
0.762938,0.299888,0.297415
0.764608,0.304621,0.298431
0.766277,0.309390,0.299425
0.767947,0.314197,0.300396
0.769616,0.319039,0.301343
0.771285,0.323917,0.302267
0.772955,0.328830,0.303166
0.774624,0.333777,0.304041
0.776294,0.338757,0.304891
0.777963,0.343770,0.305716
0.779633,0.348816,0.306516
0.781302,0.353892,0.307292
0.782972,0.358999,0.308042
0.784641,0.364135,0.308766
0.786311,0.369300,0.309465
0.787980,0.374494,0.310139
0.789649,0.379714,0.310787
0.791319,0.384961,0.311410
0.792988,0.390232,0.312008
0.794658,0.395528,0.312580
0.796327,0.400848,0.313127
0.797997,0.406190,0.313649
0.799666,0.411553,0.314145
0.801336,0.416936,0.314617
0.803005,0.422339,0.315065
0.804674,0.427760,0.315488
0.806344,0.433198,0.315886
0.808013,0.438653,0.316261
0.809683,0.444122,0.316612
0.811352,0.449605,0.316939
0.813022,0.455100,0.317243
0.814691,0.460607,0.317524
0.816361,0.466124,0.317783
0.818030,0.471650,0.318018
0.819699,0.477184,0.318232
0.821369,0.482724,0.318424
0.823038,0.488269,0.318594
0.824708,0.493819,0.318743
0.826377,0.499370,0.318872
0.828047,0.504924,0.318979
0.829716,0.510477,0.319066
0.831386,0.516028,0.319134
0.833055,0.521577,0.319181
0.834725,0.527122,0.319209
0.836394,0.532661,0.319218
0.838063,0.538193,0.319208
0.839733,0.543717,0.319180
0.841402,0.549230,0.319133
0.843072,0.554733,0.319069
0.844741,0.560223,0.318986
0.846411,0.565698,0.318886
0.848080,0.571158,0.318769
0.849750,0.576601,0.318634
0.851419,0.582025,0.318483
0.853088,0.587429,0.318315
0.854758,0.592811,0.318130
0.856427,0.598170,0.317929
0.858097,0.603505,0.317711
0.859766,0.608813,0.317478
0.861436,0.614094,0.317228
0.863105,0.619345,0.316962
0.864775,0.624566,0.316680
0.866444,0.629754,0.316382
0.868114,0.634908,0.316068
0.869783,0.640027,0.315739
0.871452,0.645109,0.315393
0.873122,0.650153,0.315031
0.874791,0.655157,0.314653
0.876461,0.660119,0.314259
0.878130,0.665038,0.313849
0.879800,0.669913,0.313422
0.881469,0.674741,0.312979
0.883139,0.679523,0.312519
0.884808,0.684255,0.312043
0.886477,0.688936,0.311549
0.888147,0.693565,0.311038
0.889816,0.698141,0.310509
0.891486,0.702662,0.309963
0.893155,0.707127,0.309398
0.894825,0.711533,0.308815
0.896494,0.715881,0.308214
0.898164,0.720167,0.307594
0.899833,0.724392,0.306954
0.901503,0.728553,0.306296
0.903172,0.732649,0.305617
0.904841,0.736678,0.304918
0.906511,0.740641,0.304198
0.908180,0.744534,0.303457
0.909850,0.748357,0.302695
0.911519,0.752108,0.301912
0.913189,0.755786,0.301106
0.914858,0.759391,0.300278
0.916528,0.762920,0.299427
0.918197,0.766373,0.298553
0.919866,0.769748,0.297655
0.921536,0.773044,0.296733
0.923205,0.776260,0.295787
0.924875,0.779395,0.294816
0.926544,0.782447,0.293820
0.928214,0.785417,0.292799
0.929883,0.788302,0.291752
0.931553,0.791102,0.290678
0.933222,0.793815,0.289578
0.934891,0.796441,0.288452
0.936561,0.798980,0.287298
0.938230,0.801428,0.286116
0.939900,0.803787,0.284907
0.941569,0.806056,0.283670
0.943239,0.808232,0.282405
0.944908,0.810316,0.281111
0.946578,0.812307,0.279789
0.948247,0.814204,0.278437
0.949917,0.816007,0.277057
0.951586,0.817715,0.275648
0.953255,0.819326,0.274209
0.954925,0.820842,0.272740
0.956594,0.822260,0.271242
0.958264,0.823581,0.269715
0.959933,0.824804,0.268158
0.961603,0.825928,0.266571
0.963272,0.826954,0.264955
0.964942,0.827881,0.263309
0.966611,0.828708,0.261634
0.968280,0.829436,0.259930
0.969950,0.830063,0.258196
0.971619,0.830590,0.256433
0.973289,0.831017,0.254641
0.974958,0.831343,0.252821
0.976628,0.831568,0.250972
0.978297,0.831693,0.249095
0.979967,0.831716,0.247190
0.981636,0.831639,0.245258
0.983306,0.831461,0.243299
0.984975,0.831182,0.241313
0.986644,0.830802,0.239300
0.988314,0.830322,0.237262
0.989983,0.829742,0.235198
0.991653,0.829061,0.233110
0.993322,0.828280,0.230997
0.994992,0.827400,0.228860
0.996661,0.826420,0.226701
0.998331,0.825342,0.224518
1.000000,0.824164,0.222314
