题目,评委ID,TOPSIS_熵权,TOPSIS_CRITIC,TOPSIS_CV,TOPSIS_标准差,TOPSIS_PCA,TOPSIS_GRA,排名_熵权,排名_CRITIC,排名_CV,排名_标准差,排名_PCA,排名_GRA
C,专家C20,0.3392531558168505,0.4978533159074276,0.3501914227757839,0.4492103347008803,0.490781635391707,0.39270799394225003,17,12,17,15,15,16
D,专家D01,0.5537722662958502,0.684537923303818,0.6080953893796436,0.688538170839706,0.721386366072097,0.6921373429210955,25,14,21,14,15,13
D,专家D02,0.3484332214514911,0.5379994680463583,0.4261893961480067,0.5317990543216182,0.49831204120430617,0.535181090212831,65,46,61,49,55,49
D,专家D03,0.5475281699757025,0.520546755028773,0.5407141123757488,0.5409975258229655,0.6452663916430801,0.5454518190761053,29,51,34,46,32,46
D,专家D04,0.7371687259183493,0.777080932509507,0.7526386857163695,0.7775947300965353,0.7711125302017787,0.7794744472604821,5,4,4,4,4,4
D,专家D05,0.702192853183831,0.6637147357487828,0.677520385597495,0.6486848233601897,0.5523597328188546,0.6467309941010226,9,20,12,24,50,26
D,专家D06,0.6007185566992003,0.6649545716745007,0.6268144869501525,0.6652542611616599,0.6667111852829348,0.666995686015708,21,19,19,19,27,19
D,专家D07,0.3592252093821021,0.5081583544461554,0.4221847042840256,0.5125357279026163,0.5303067232769972,0.5176504713881328,64,55,63,58,53,58
D,专家D08,0.3703797672762659,0.526456176562844,0.43562306868515566,0.5230196387249895,0.4942240238792119,0.5269233993753727,60,50,58,53,57,52
D,专家D09,0.6981260873948961,0.6884757539119869,0.697495214878379,0.696691146318942,0.7506697781251226,0.6973540865911092,10,12,10,10,11,10
D,专家D10,0.3992881605551117,0.548195754984718,0.4628265193432731,0.5524893346059473,0.5882273528802512,0.5563472609082608,52,45,51,44,47,44
D,专家D11,0.4830923195420688,0.504132188778515,0.49613351689560226,0.5247315022762403,0.6138850473207638,0.5307655252925101,39,57,43,51,38,51
D,专家D12,0.5057887119492898,0.6266919698011743,0.5594708058185117,0.6405609745287536,0.721645372374908,0.6461434686421311,34,29,29,27,14,27
D,专家D13,0.6828670764819325,0.6447485711001771,0.6699106631519911,0.6526596807355048,0.7052257455376999,0.6525779611407747,11,26,14,23,18,23
D,专家D14,0.3915464766365848,0.5337637440239661,0.450689796092316,0.5219026350907288,0.47576401520232164,0.5213653376998667,56,48,55,54,59,54
D,专家D15,0.4255517303039564,0.49787944153288594,0.45155643610079294,0.46559726266625373,0.2675043070822023,0.4588821587788247,47,59,54,63,67,63
D,专家D16,0.4283844088260558,0.6117871553255613,0.5042291433276916,0.6098109299009503,0.6086903919807398,0.6136501611776218,46,31,42,33,39,33
D,专家D17,0.1700278388046595,0.19607246380834129,0.1861270577225422,0.20675764319099635,0.2695701803394961,0.20857225072811655,69,69,69,69,66,69
D,专家D18,0.4831712618736668,0.6339914410692351,0.5463770024358735,0.6246159380964857,0.5972771029587001,0.6246035162424186,38,28,32,29,44,30
D,专家D19,0.5173776715996304,0.6738905439686882,0.581537434160692,0.6751868419694813,0.6920975741387186,0.6791123614785273,31,18,27,18,21,18
D,专家D20,0.3056919956184058,0.4171607957785928,0.3571331037301023,0.4346186023911768,0.5187327972156267,0.44126698574501616,66,67,66,66,54,65
D,专家D21,0.47473551205514275,0.6129298287986261,0.5345063229687532,0.6236958698982205,0.6894136418796116,0.6290258495659837,40,30,36,30,22,29
D,专家D22,0.4424339698962073,0.5191554993379444,0.48092308387832244,0.5424513236913435,0.6604026298160137,0.5495795578482087,44,52,47,45,29,45
D,专家D23,0.2816811675919151,0.43682257528567014,0.3466147913133987,0.4085724477701874,0.16913686350294374,0.40500073080501275,67,66,67,67,68,67
D,专家D24,0.7063265798819597,0.7294711812183031,0.7144419640407831,0.7240216670790378,0.6976959071030241,0.7233746403000691,8,8,7,8,19,8
D,专家D25,0.6305532042155345,0.6799113004785107,0.6525930427623844,0.6852422459407752,0.7194047592372389,0.6871866004367415,17,16,16,16,16,15
D,专家D26,0.8091963801137384,0.8342048869610057,0.8215479412249481,0.842637700022661,0.8942578890357679,0.8450724016969909,2,2,2,2,1,2
D,专家D27,0.3800241421373476,0.518716017380075,0.43754520770917743,0.5162177297516801,0.4960853173799866,0.5196616218624192,58,53,57,55,56,57
D,专家D28,0.9196760751027581,0.8799282400821291,0.901958645435232,0.8803057038787933,0.8825441524941923,0.8794920801825994,1,1,1,1,2,1
D,专家D29,0.46871523454631553,0.5777737399764953,0.5168656601571526,0.5906226247836028,0.6564925774752401,0.5962214271254532,41,39,41,37,30,37
D,专家D30,0.49948605255133793,0.5864571804811854,0.534429753270679,0.5633821794015705,0.46585447125386,0.5583342095102535,35,36,37,42,60,43
D,专家D31,0.4304145320112173,0.5367584639705425,0.4721161792304867,0.5236698122916215,0.444702685428942,0.5237685629346455,45,47,48,52,64,53
D,专家D32,0.6090674872708345,0.5785217620124932,0.6022833410492411,0.6052877346383746,0.7620836823775127,0.6110383665358157,19,38,24,34,7,34
D,专家D33,0.4105589051121104,0.5907441749949109,0.4851194573045466,0.5903091161867606,0.5969864465683624,0.594479055103138,50,35,46,38,45,38
D,专家D34,0.5674900617526561,0.6508066802218189,0.6002789176624328,0.6464146256318916,0.6223754643926279,0.6477157547696404,24,24,25,25,37,24
D,专家D35,0.493342509592872,0.44662598641158546,0.4714516674246738,0.43498844642175105,0.3810746672341648,0.4308850357676021,37,65,49,65,65,66
